KIC,Porb
1026032,8.46
1026957,21.761
1161345,8.575
1575690,2.252
1722276,569.95
2019076,7.129
2162994,4.102
2167890,2.648
2305543,1.362
2306740,10.307
2307199,13.447
2309587,1.839
2309719,54.356
2437060,3.187
2438061,4.886
2438490,3.316
2441161,4.384
2442084,49.789
2445134,8.412
2445975,3.389
2447893,0.662
2449090,4.944
2452440,8.097
2557430,1.298
2558370,1.092
2569494,1.523
2580872,15.927
2711114,2.859
2719873,17.279
2852560,11.961
2854948,0.974
2860788,5.26
2997455,1.13
3003991,7.245
3097352,4.03
3098194,30.477
3102000,57.06
3102024,13.783
3114667,0.889
3115480,3.694
3120320,10.266
3122985,0.993
3128793,24.679
3222471,618.42
3230787,17.734
3231120,3.9
3241344,3.913
3241619,1.703
3248019,2.668
3323289,33.693
3335816,7.422
3339538,14.658
3344427,0.652
3348093,7.964
3351945,1.081
3427776,4.017
3433668,15.022
3443790,1.666
3449540,3.212
3458919,0.892
3459199,3.141
3530668,1.946
3542573,6.943
3543270,4.177
3544694,3.846
3547091,3.306
3547315,1.285
3558981,2.988
3654950,8.135
3656322,3.664
3659940,0.896
3662635,0.939
3734868,10.328
3749508,1.066
3834364,2.908
3838496,5.98
3848919,1.047
3848972,0.741
3852655,11.629
3861595,3.849
3862246,4.702
3865298,9.531
3953106,13.174
3954227,0.594
3955867,33.66
3957477,0.979
3964545,3.012
3965242,0.997
3970233,8.255
3973002,3.984
3973504,4.319
4035675,2.874
4037163,0.635
4037428,4.265
4044005,17.512
4049124,4.804
4069063,0.504
4075064,61.423
4078693,2.757
4149684,4.321
4159347,12.284
4174507,3.892
4178389,23.211
4247991,104.35
4252226,21.859
4252322,14.592
4263529,10.104
4275739,4.344
4276114,3.722
4285087,4.486
4346875,4.694
4352168,10.644
4357272,2.086
4358206,0.951
4366923,646.29
4367544,2.391
4380283,1.745
4386047,2.901
4454219,2.451
4455763,0.766
4456622,1.503
4473933,103.593
4480676,1.424
4484356,1.144
4540632,31.005
4547480,4.427
4569590,41.37
4579321,2.112
4639868,53.101
4678171,15.289
4679687,1.028
4737267,9.524
4743508,2.086
4751083,4.532
4753988,7.304
4757331,2.362
4773155,25.706
4815612,3.857
4832197,1.895
4839180,8.853
4840263,1.916
4840327,26.737
4840818,10.05
4847843,30.96
4862625,20
4902030,1.758
4908495,3.12
4912589,68.377
4912991,4.443
4929299,0.869
4931073,26.951
4935914,3.486
4940201,8.817
4946584,0.454
4947726,4.726
4948863,8.644
4990977,2.649
5014753,3.171
5016163,5.246
5021174,4.045
5022440,3.694
5023948,3.649
5024292,4.301
5024450,3.052
5025294,5.463
5036538,2.122
5039441,2.151
5077629,7.919
5080652,4.144
5091614,21.142
5098444,26.949
5103998,174.77
5113053,3.185
5122112,3.055
5130740,210.303
5181455,5.58
5181804,4.351
5193386,21.378
5211470,4.809
5216727,1.513
5269407,0.959
5282049,5.91
5288543,3.457
5300878,1.279
5308778,40.565
5343976,4.331
5347784,9.584
5356593,45.978
5359678,6.231
5369827,3.607
5370302,3.904
5372966,9.286
5376836,3.479
5384713,60.327
5384802,6.083
5393558,10.217
5450814,6.488
5462901,5.271
5527172,3.184
5530881,5.083
5534814,9.719
5553624,25.762
5597970,6.717
5608566,4.397
5629353,33.325
5630212,47.585
5642620,0.987
5643492,41.865
5647008,0.8
5648449,4.349
5649206,4.893
5649956,2.416
5652260,8.929
5730394,5.519
